央视频道,#genre#
CCTV1,http://221.14.158.52:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://221.14.158.52:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://36.40.236.206:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://36.40.236.206:9999/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://1.80.231.173:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://58.23.26.184:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://1.80.231.173:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://1.80.231.173:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://221.14.158.52:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://58.23.26.184:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://221.14.158.52:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.14.158.52:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://1.80.231.173:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://221.14.158.52:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://1.80.231.173:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://221.14.158.52:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://36.40.236.206:9999/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
卫视频道,#genre#
东南卫视,http://1.80.231.173:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://218.3.138.25:1111/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://123.154.30.68:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://36.40.236.206:9999/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://223.112.219.174:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://61.136.67.238:50085/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://36.40.236.206:9999/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://36.40.236.206:9999/tsfile/live/0124_2.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://1.80.231.173:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://221.14.158.52:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://1.80.231.173:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://1.80.231.173:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://1.80.231.173:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://221.14.158.52:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://221.14.152.133:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://221.14.158.52:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://1.80.231.173:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://61.136.67.238:50085/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://221.14.158.52:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://221.14.158.52:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://1.80.231.173:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://221.14.158.52:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://221.14.158.52:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://221.14.158.52:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://1.80.231.173:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://123.154.30.68:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://1.80.231.173:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://1.80.231.173:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://1.80.231.173:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://221.14.158.52:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://123.138.216.44:9902/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://36.40.236.206:9999/tsfile/live/0131_3.m3u8?key=txiptv&playlive=0&authid=0
河南频道,#genre#
河南公共,http://221.14.158.52:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://221.14.158.52:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
河南国际,http://221.14.158.52:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
河南新农村,http://221.14.158.52:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
河南新闻,http://221.14.158.52:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
河南民生,http://221.14.152.133:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
河南法治,http://221.14.158.52:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
河南电视剧,http://221.14.158.52:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
河南都市,http://221.14.152.133:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
2套,http://1.80.231.173:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
4套,http://1.80.231.173:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
5套,http://1.80.231.173:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
8套,http://1.80.231.173:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
东奥纪实,http://123.138.216.44:9902/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
